title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
180,2011,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,"{""Epic Roasthouse (399 Embarcadero)"": """", ""Mason & California Streets (Nob Hill)"": """", ""Justin Herman Plaza"": """", ""200 block Market Street"": """", ""City Hall"": """", ""Polk & Larkin Streets"": """", ""Randall Museum"": """", ""555 Market St."": """"}",0,0
Summertime,2015,"Creative Monster Productions, Inc.",7 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"{""Alamo Square "": """", ""Chinatown (Stockton @ Jackson & Jackson toward Grant"": """", ""Broadway and Taylor St Intersection"": """", ""Buena Vista East & Duboce; Buena Vista East & Haight"": """", ""Love Street Vintage (1506 Haight & adjacent Haight sidewalk_"": """", ""Montgomery between California and Pine"": """", ""Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery"": """", ""Stanyan & Belgrave"": """", ""Duboce Park"": """", ""20th St and Church (3885 20th St)"": """", ""Turk St between Lyon and Baker St"": """", ""53 Potomac St"": """", ""Oasis Nightclub (298 11th St)"": """", ""Fisherman's Wharf pier near Chapel (Port Walk #19)"": """", ""Alamo Square"": """"}",0,0
Ballers Season 3,2017,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,"{""San Remo Hotel (2237 Mason)"": """", ""Driving around Taylor/Pacific/Leavenworth"": """", ""Huntington Park (California & Taylor Streets, Nob Hill)"": """", ""Embarcadero around Rincon Park"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": """", ""California and Jones St."": """", ""Another Caf\u00e9, 1191 Pine St at Leavenworth"": """"}",0,0
Chance Season 2,2017,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,"{""Waller St between Masonic and Del Mar St"": """", ""Palace of Fine Arts (3301 Lyon Street)"": """", ""20th St between Church and Dolores St"": """", ""Haight between Central and Ashbury St"": """", ""Union St at Leavenworth St"": """", ""Embarcadero between Bay and Chestnut St"": """", ""Haight St at Ashbury St"": """", ""Filbert St at Stockton St"": """", ""Heron @ Berwick (off 8th and Harrison St)"": """", ""Leavenworth at McAllister St"": """", ""Presidio Heights Neighborhood "": """", ""Duboce between Buena Vista East and Alpine St"": """", ""Mason between Sacramento and California St"": """", ""Central St between Haight and Page St"": """", ""Market St at Embarcadero"": """", ""Lombard St between Leavenworth and Hyde St"": """", ""Lombard St between Hyde and Larkin St"": """", ""Taylor St, north of Jefferson St to end"": """", ""California between Mason and Taylor St"": """", ""Coit Tower"": """", ""Scott St between Jackson and Clay St"": """", ""Steiner St between Jackson and Clay St"": """", ""Marina Blvd between Baker and Fillmore St"": """", ""Sacramento between Mason and Taylor St"": """", ""Embarcadero at Vallejo St."": """", ""Jefferson St at Taylor St"": """", ""Embarcadero between Market to Fillmore St"": """", ""Columbus between Filbert and Lombard St"": """", ""Embarcadero at Lombard St. "": """", ""Embarcadero between Harrison and Folsom St"": """", ""Presidio Heights Neighborhood"": """", ""Embarcadero at Lombard St."": """"}",0,0
A Night Full of Rain,1978,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,"{""Embarcadero Freeway"": ""Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)"", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""San Francisco Chronicle (901 Mission Street at 15th Street)"": ""The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices."", ""Broadway (North Beach)"": """"}",0,0
Vegas in Space,1992,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,"{""Under Highway 101 (near Potrero and Cesar Chavez Streets)"": """", ""544 Natoma (SOMA)"": """", ""3567 18th Street"": """", ""Corona Heights Park"": """", ""422 Oak Street at Laguna"": """", ""Project Artaud (Florida Street)"": """"}",0,0
Nine Months,1995,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,"{""Star's Caf\u00e9 (55 Golden Gate Avenue at Van Ness)"": """", ""Belli Building (722 Montgomery Street at Washington)"": """", ""Wasteland Store (1600 Haight Street)"": """", ""Chrissy Field"": ""Chrissy Field was originally an airfield for the Presidio Army Base. "", ""60 Spear Street"": """", ""101 Henry Adams Place, 4th Floor"": """", ""Alamo Square"": """", ""Jones Street at Bush"": """", ""Jack Kerouac Alley between Columbus & Grant Streets"": """", ""Marathon Plaza (303 2nd Street)"": """", ""Pierce Street between Pacific & Green Streets"": """", ""The Malloch Apartment Building (1360 Montgomery Street)"": """", ""Montgomery & Vallejo Streets"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"": ""SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.""}",0,0
Beautiful Boy,2018,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,"{""Tenderloin Neighborhood"": """", ""Haight at Masonic"": """", ""Wisconsin between 19th and 20th St"": """", ""Olympic Flame Caf\u00e9, 555 Geary St"": """", ""Divisadero between Broadway and Greenwich"": """", ""Ohloff Recovery Center (601 Steiner St)"": """", ""18th St at San Bruno Ave."": """"}",0,0
About a Boy,2014,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,"{""Broderick from Fulton to McAlister"": """", ""Crissy Field"": """", ""Powell from Bush and Sutter"": """"}",0,0
Age of Adaline,2015,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,"{""Pier 50- end of the pier"": """", ""California @ Montgomery"": """", ""Montgomery/Green"": """", ""Driving various SF Streets"": """", ""Plate Shots SF streets various"": """"}",0,0
After the Thin Man,1936,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart,"{""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.""}",0,0
Ant-Man,2015,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,"{""California between Kearney and Davis"": ""Driving shots"", ""Conzelman Rd at McCollough Rd and down Conzelman Rd."": ""Aerial shots"", ""Lombard at Hyde"": """", ""601 Buena Vista Ave West at Java St."": """", ""420 Jones St. at Ellis St."": """", ""Broadway between Powell and Davis"": ""Driving shots"", ""Columbus between Bay and Washington"": ""Driving shots"", ""Pine between Kearney and Davis"": ""Driving shots"", ""Market between Stuart and Van Ness"": ""Driving shots"", ""Grant between Bush and Broadway"": ""Driving shots"", ""Intersection of Broadway at Kearney"": ""Driving shots"", ""Intersection of California at Polk"": ""Driving shots"", ""Treasure Island, Building #1, Ave of the Palms"": ""Aerial and exterior shots""}",0,0
Americana,2015,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"{""St. Francis Episcopal Church (399 San Fernando Way)"": """", ""Romolo Place @ Fresno St."": """", ""Palace of Fine Arts"": """", ""John Shelley Drive John McLaren Park"": """", ""Treasure Island"": """", ""The San Francisco School (300 Gavin St.)"": """", ""33 Spruce St"": """", ""Coi Restaurant (373 Broadway)"": """", ""Foreign Cinema (2534 Mission)"": """", ""Bernal Heights Park"": """", ""Jackson St. at Spruce"": """", ""679 Madrid St"": """", ""Roxie Theater (3117 16th St.)"": """", ""Variety Preview Room (582 Market St.)"": """", ""Laguna Honda Hospital; 375 Laguna Honda Blvd."": """", ""3232 Jackson Ave."": """", ""20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs"": """"}",0,0
Around the Fire,1998,Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid,,,"{""Ocean Beach"": ""On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007.""}",0,0
Attack of the Killer Tomatoes,1978,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,,"{""Hyde Street Cable Car"": ""SF Cable Cars are the only moving National Historical Landmark.""}",0,0
Basic Instinct,1992,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"{""Yerba Buena Center for the Arts"": """", ""Transbay Terminal (Mission Street at 1st Street)"": ""Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time."", ""Tosca Caf\u00e9 (242 Columbus Avenue)"": """", ""Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"": ""The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species."", ""Raw Hide II (280 Seventh Street)"": """", ""Pier 7 (The Embarcadero)"": """", ""Kearney Street (Telegraph Hill)"": """", ""Hall of Justice (850 Bryant Street)"": """", ""2930 Vallejo Street"": """", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Gibb Street (Chinatown)"": """", ""1158-70 Montgomery Street"": """", ""2104 Broadway"": """"}",0,0
Bedazzled,2000,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,"{""1155 Filbert Street at Hyde"": """", ""Washington Square Park (Filbert, between Stockton and Powell)"": """", ""Vaillancourt Fountain (Justin Herman Plaza)"": ""Installed in 1975, the Vaillancourt Fountain is officially titled, \""Qu\u00e9bec Libre!\"". The night before the sculpture's inauguration, artist Armand Vaillancourt inscribed \""Qu\u00e9bec libre!\"" in red letters on the sculpture. The next day when he noticed that the note had been erased, Vaillancourt jumped on the statue to re-inscribe his message."", ""Montgomery & Market Streets"": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.""}",0,0
Blue Jasmine,2013,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"{""5546 Geary Ave"": """", ""Jones & Pacific"": """", ""Pacific & Divisadero"": """", ""Lombard & Hyde"": """", ""2898 Broadway"": """", ""Motel Capri"": """", ""Marina Green"": """", ""Ocean Beach at Lincoln"": """", ""Heald College"": """", ""Marina Blvd from Laguna to Baker"": """", ""330 Santa Clara Ave."": """", ""200 Post St. "": """", ""2179 48th Ave"": """", ""The Ramp Restaurant"": """", ""303-305 S. Van Ness"": """", ""3563 20th St."": """", ""Taylor & Green St."": """", ""Grant & Washington St."": """", ""2934 24th St."": """", ""1138 Alabama St"": """", ""South Park"": """", ""2915 16th St."": """", ""Trolley Car from Market and 11th"": """", ""Real Guitars"": """", ""Aub Zam Zam Bar"": """", ""790 Ulloa "": """", ""SFO International Airport Terminal 3"": """", ""2178 Palou Ave."": """", ""200 Post St."": """", ""790 Ulloa"": """"}",0,0
Bicentennial Man,1999,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,"{""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Treasure Island"": ""An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident."", ""Postcard Row, Alamo Square, Hayes Valley"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire."", ""Grace Cathedral Episcopal Church (1100 California Street)"": ""Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.""}",0,0
Big Eyes,2014,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,"{""Nobles Alley"": """", ""Caffe Trieste"": """", ""Palace of Fine Arts"": """", ""1101 Filbert St. "": """", ""Saints Peter & Paul Church"": """", ""Green St. & Grant Ave."": """", ""Filbert St. & Leavenworth"": """", ""Pine St. & Grant"": """", ""Way Faire Inn on Leidesdorff"": """", ""Harry's Bar on Fillmore"": """", ""1101 Filbert St."": """"}",0,0
Big Sur,2013,3311 Productions,,Michael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic,"{""Tosca Caf\u00e9 (242 Columbus Avenue, North Beach)"": """"}",0,0
Boys and Girls,2000,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,"{""1122 Folsom Street"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Fisherman's Wharf"": ""Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf."", ""Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Lombard Street"": ""Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd."", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Aquatic Park (Jefferson Street)"": ""Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project."", ""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison."", ""628 Cole Street"": """"}",0,0
"Smile Again, Jenny Lee",2015,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,"{""510 Noe Street & 18th St."": """", ""Huntington Park (California & Taylor Streets, Nob Hill)"": """", ""Mason & Sacramento St"": """", ""87 Cervantes Blvd (beach)"": """", ""Montgomery Street at Post Street"": """", ""E Tutto Qua Restaurant (270 Columbus St.)"": """", ""Manor West (750 Harrison St.)"": """", ""475 Diamond St."": """", ""Hyatt Hotel (555 North Point St.)"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": """", ""411 Shrader St."": """", ""883 42nd Ave."": """", ""Unitarian Church (1187 Franklin St.)"": """", ""1328 Portola"": """", ""Clay St. at Sansome"": """", ""333 Pacheco St at Lopez Ave."": """", ""Mission Inn (5630 Mission St)"": """", ""Gaspare's Pizza House (5546 Geary Blvd.)"": """", ""Europa Caf\u00e9 (4318 California St. and 5th Ave.)"": """", ""New Taraval Caf\u00e9 (1054 Taraval St.)"": """", ""Kansas St at 17th St."": """", ""City Hall "": """", ""Ocean Beach Motel (2690 46th Ave.)"": """", ""Greenwich St at Battery St"": """", ""2100 Pacific Ave at Laguna St"": """", ""City Hall"": """"}",0,0
Broken-A Modern Love Story ,2010,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,"{""Ina Coolbrith Park (1700 Taylor Street)"": """", ""0-100 block Halleck Street"": """"}",0,0
Silicon Valley Season 4,2017,"Brown Hill Productions, LLC",HBO,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener,"{""Howard St between 3rd and 4th St."": """", ""Moscone Center Parking Garage/3rd St."": """"}",0,0
